city,temperature,timestamp
Tokyo,12.5,2024-06-10 17:42:02
London,33.9,2025-03-18 17:42:02
London,10.0,2024-08-07 17:42:02
Paris,22.4,2024-06-01 17:42:02
Sydney,23.1,2025-01-23 17:42:02
New York,21.9,2024-05-06 17:42:02
Sydney,11.5,2024-08-16 17:42:02
Sydney,22.5,2024-08-19 17:42:02
Paris,27.7,2025-01-22 17:42:02
London,32.1,2025-02-22 17:42:02
London,26.3,2024-10-10 17:42:02
Paris,30.5,2024-12-03 17:42:02
London,34.0,2025-01-25 17:42:02
Sydney,10.6,2025-03-02 17:42:02
New York,34.3,2025-03-11 17:42:02
New York,33.5,2025-03-09 17:42:02
Paris,34.0,2025-03-06 17:42:02
Paris,24.4,2024-06-12 17:42:02
Sydney,18.9,2024-05-20 17:42:02
Sydney,34.3,2024-06-17 17:42:02
Paris,22.1,2025-02-25 17:42:02
Tokyo,10.6,2025-01-18 17:42:02
Tokyo,23.7,2024-11-01 17:42:02
New York,27.5,2024-12-11 17:42:02
Sydney,25.7,2024-06-10 17:42:02
London,23.7,2025-04-20 17:42:02
New York,27.2,2025-02-14 17:42:02
London,21.0,2024-10-13 17:42:02
London,10.5,2024-09-11 17:42:02
Sydney,30.0,2024-09-17 17:42:02
Sydney,33.0,2025-01-26 17:42:02
Paris,16.7,2025-04-06 17:42:02
London,16.0,2025-01-24 17:42:02
Sydney,15.3,2024-08-28 17:42:02
Paris,10.9,2025-01-03 17:42:02
Tokyo,29.2,2025-04-26 17:42:02
Sydney,26.5,2024-09-08 17:42:02
New York,34.6,2024-10-26 17:42:02
Sydney,11.1,2024-09-06 17:42:02
Paris,33.6,2025-02-09 17:42:02
Tokyo,28.7,2025-02-18 17:42:02
Sydney,27.9,2024-08-28 17:42:02
New York,26.0,2024-11-05 17:42:02
London,29.8,2024-05-04 17:42:02
Sydney,24.8,2025-03-27 17:42:02
Paris,28.7,2024-12-29 17:42:02
London,20.3,2025-01-12 17:42:02
New York,30.3,2025-04-12 17:42:02
Sydney,10.2,2025-01-19 17:42:02
London,24.7,2025-01-20 17:42:02
New York,19.2,2024-05-10 17:42:02
Tokyo,30.5,2024-11-03 17:42:02
Sydney,27.9,2025-05-03 17:42:02
Sydney,31.9,2025-01-29 17:42:02
Tokyo,22.5,2024-07-15 17:42:02
London,22.1,2024-09-06 17:42:02
London,27.3,2024-09-15 17:42:02
London,12.9,2024-12-23 17:42:02
London,13.5,2024-12-30 17:42:02
London,26.4,2025-05-03 17:42:02
New York,17.5,2024-05-24 17:42:02
Sydney,23.6,2024-10-16 17:42:02
Paris,25.1,2024-05-28 17:42:02
Tokyo,22.5,2025-01-28 17:42:02
Sydney,27.5,2025-03-10 17:42:02
Tokyo,18.4,2024-10-06 17:42:02
Tokyo,24.5,2024-10-24 17:42:02
Sydney,10.8,2025-02-20 17:42:02
Tokyo,24.7,2025-02-07 17:42:02
Tokyo,20.1,2025-04-06 17:42:02
Tokyo,30.5,2024-08-24 17:42:02
Tokyo,33.4,2025-01-25 17:42:02
Tokyo,30.5,2024-07-29 17:42:02
Paris,14.2,2024-08-18 17:42:02
Sydney,15.1,2024-09-26 17:42:02
Paris,30.8,2024-07-16 17:42:02
Sydney,10.9,2024-08-29 17:42:02
New York,28.8,2024-06-09 17:42:02
Sydney,26.5,2025-03-06 17:42:02
London,20.9,2024-11-23 17:42:02
Tokyo,33.3,2024-07-26 17:42:02
Paris,19.3,2025-03-21 17:42:02
Tokyo,16.6,2024-07-17 17:42:02
London,34.2,2024-09-09 17:42:02
Paris,25.8,2025-03-16 17:42:02
Sydney,29.0,2025-01-11 17:42:02
London,12.9,2024-12-29 17:42:02
London,24.3,2024-11-03 17:42:02
London,27.7,2024-05-30 17:42:02
Paris,25.7,2024-09-05 17:42:02
Paris,20.2,2024-12-21 17:42:02
Paris,15.3,2025-04-16 17:42:02
Sydney,26.1,2024-08-11 17:42:02
New York,25.1,2024-05-11 17:42:02
London,14.8,2025-01-20 17:42:02
Tokyo,10.5,2025-03-19 17:42:02
New York,17.8,2025-01-10 17:42:02
Tokyo,34.1,2024-07-17 17:42:02
London,25.6,2025-01-28 17:42:02
Sydney,30.0,2025-02-13 17:42:02
New York,24.5,2024-08-25 17:42:02
Tokyo,23.1,2025-04-05 17:42:02
New York,28.8,2024-08-11 17:42:02
New York,24.8,2024-09-21 17:42:02
Sydney,25.1,2024-12-30 17:42:02
Paris,19.8,2025-04-23 17:42:02
London,25.7,2024-06-20 17:42:02
Paris,32.9,2024-09-26 17:42:02
Paris,17.3,2024-07-06 17:42:02
New York,21.8,2024-05-18 17:42:02
Tokyo,19.6,2024-09-04 17:42:02
Sydney,26.9,2024-07-11 17:42:02
London,10.7,2025-02-02 17:42:02
London,20.3,2024-09-02 17:42:02
London,32.7,2024-11-26 17:42:02
New York,17.4,2024-05-24 17:42:02
Paris,29.4,2024-09-10 17:42:02
New York,22.7,2025-01-06 17:42:02
Paris,28.7,2025-02-14 17:42:02
London,21.6,2024-06-11 17:42:02
New York,31.6,2024-09-27 17:42:02
Paris,15.3,2025-03-26 17:42:02
London,20.9,2025-02-21 17:42:02
New York,29.1,2024-10-06 17:42:02
Paris,24.8,2024-11-20 17:42:02
Paris,14.0,2024-06-08 17:42:02
Paris,19.6,2024-07-26 17:42:02
Paris,12.5,2024-11-15 17:42:02
London,28.2,2024-07-12 17:42:02
Sydney,26.1,2024-11-08 17:42:02
New York,21.8,2025-02-10 17:42:02
Sydney,29.6,2024-08-26 17:42:02
Paris,27.3,2025-01-21 17:42:02
Sydney,25.0,2025-03-12 17:42:02
London,10.9,2024-08-24 17:42:02
Sydney,17.3,2024-11-04 17:42:02
London,16.3,2024-11-25 17:42:02
Sydney,33.0,2024-07-04 17:42:02
London,14.2,2024-08-01 17:42:02
London,14.6,2024-07-31 17:42:02
Sydney,25.9,2024-07-12 17:42:02
Sydney,20.5,2024-06-29 17:42:02
Paris,11.6,2025-03-29 17:42:02
Paris,14.8,2024-05-04 17:42:02
Sydney,34.7,2025-01-13 17:42:02
Tokyo,17.7,2024-10-26 17:42:02
London,10.4,2024-08-31 17:42:02
New York,14.1,2025-01-16 17:42:02
London,28.2,2024-10-06 17:42:02
London,33.2,2024-12-04 17:42:02
New York,13.5,2025-02-01 17:42:02
Paris,28.9,2025-02-25 17:42:02
London,13.3,2025-02-10 17:42:02
London,32.4,2024-07-05 17:42:02
London,19.7,2025-02-17 17:42:02
Paris,26.4,2024-08-21 17:42:02
Paris,21.0,2024-06-16 17:42:02
Paris,28.8,2025-02-15 17:42:02
London,10.1,2025-03-18 17:42:02
London,27.6,2024-05-14 17:42:02
Paris,17.3,2024-09-15 17:42:02
Paris,32.6,2025-04-12 17:42:02
Sydney,22.0,2025-04-09 17:42:02
Paris,15.7,2024-10-27 17:42:02
Sydney,16.3,2024-11-01 17:42:02
London,29.2,2024-10-01 17:42:02
Sydney,17.9,2024-09-20 17:42:02
Sydney,23.7,2025-04-12 17:42:02
New York,11.3,2025-04-06 17:42:02
Tokyo,32.3,2024-11-27 17:42:02
Sydney,13.2,2024-07-17 17:42:02
New York,31.9,2025-04-27 17:42:02
Sydney,25.4,2025-02-03 17:42:02
Tokyo,33.7,2024-08-26 17:42:02
Sydney,24.1,2025-04-04 17:42:02
London,23.8,2024-07-04 17:42:02
New York,33.1,2024-05-16 17:42:02
New York,13.0,2025-02-18 17:42:02
London,19.4,2025-02-17 17:42:02
Tokyo,19.7,2024-06-12 17:42:02
New York,24.5,2024-07-17 17:42:02
London,29.4,2024-06-02 17:42:02
New York,27.7,2024-07-09 17:42:02
New York,10.2,2024-08-27 17:42:02
New York,22.6,2025-04-26 17:42:02
Sydney,14.3,2025-04-08 17:42:02
Paris,34.4,2025-04-14 17:42:02
New York,22.3,2025-01-17 17:42:02
New York,33.8,2024-09-25 17:42:02
Paris,17.1,2025-02-24 17:42:02
London,24.4,2024-06-28 17:42:02
New York,19.0,2025-03-24 17:42:02
New York,14.4,2025-04-02 17:42:02
New York,32.1,2025-03-22 17:42:02
Paris,24.9,2024-05-18 17:42:02
Sydney,19.6,2025-02-13 17:42:02
London,21.9,2024-06-12 17:42:02
Paris,27.8,2024-11-27 17:42:02
Sydney,24.6,2024-06-21 17:42:02
London,18.5,2024-11-22 17:42:02
Tokyo,31.2,2024-05-22 17:42:02
London,17.5,2024-11-12 17:42:02
Sydney,22.2,2025-03-25 17:42:02
London,22.3,2024-06-21 17:42:02
Tokyo,29.5,2024-12-28 17:42:02
Sydney,12.1,2025-02-08 17:42:02
Sydney,22.3,2025-04-02 17:42:02
Sydney,28.8,2024-09-24 17:42:02
Tokyo,29.5,2024-07-01 17:42:02
London,23.9,2024-08-09 17:42:02
Sydney,31.2,2024-07-13 17:42:02
London,11.4,2025-04-03 17:42:02
New York,26.8,2025-02-11 17:42:02
London,20.4,2024-12-07 17:42:02
Tokyo,33.3,2024-05-15 17:42:02
New York,24.7,2024-08-10 17:42:02
Tokyo,23.8,2025-03-30 17:42:02
Paris,27.1,2024-10-29 17:42:02
New York,24.6,2024-12-19 17:42:02
Paris,21.3,2024-10-14 17:42:02
Sydney,20.3,2025-01-05 17:42:02
New York,11.1,2024-08-01 17:42:02
London,13.8,2024-05-23 17:42:02
London,28.8,2024-10-15 17:42:02
Tokyo,24.1,2024-05-31 17:42:02
Sydney,21.7,2024-06-29 17:42:02
Sydney,21.1,2024-10-15 17:42:02
Sydney,30.2,2024-08-03 17:42:02
London,15.6,2024-11-22 17:42:02
Tokyo,16.7,2024-09-21 17:42:02
Paris,21.1,2024-12-12 17:42:02
Sydney,20.2,2025-02-11 17:42:02
Sydney,19.5,2025-01-30 17:42:02
Paris,20.4,2024-05-05 17:42:02
Sydney,17.9,2024-10-02 17:42:02
London,25.6,2024-07-08 17:42:02
Sydney,23.5,2024-09-12 17:42:02
London,10.5,2025-01-09 17:42:02
New York,33.2,2024-12-07 17:42:02
Sydney,13.4,2024-05-24 17:42:02
Sydney,18.4,2025-03-05 17:42:02
London,13.1,2024-10-31 17:42:02
Paris,29.5,2024-12-01 17:42:02
New York,18.1,2024-09-25 17:42:02
Paris,29.4,2024-05-19 17:42:02
New York,12.4,2025-04-03 17:42:02
Tokyo,34.8,2024-06-11 17:42:02
Sydney,24.7,2024-06-07 17:42:02
Sydney,24.5,2024-07-01 17:42:02
Sydney,33.8,2024-08-03 17:42:02
New York,19.8,2024-08-11 17:42:02
Sydney,19.4,2025-04-02 17:42:02
New York,33.3,2024-08-14 17:42:02
Sydney,26.6,2024-10-01 17:42:02
New York,27.0,2024-12-27 17:42:02
London,28.1,2024-11-02 17:42:02
New York,18.0,2025-01-21 17:42:02
Paris,22.8,2024-07-25 17:42:02
Sydney,30.4,2024-06-06 17:42:02
New York,23.8,2024-09-25 17:42:02
Tokyo,19.9,2024-08-25 17:42:02
Paris,20.4,2024-11-01 17:42:02
New York,28.7,2025-03-21 17:42:02
Tokyo,21.8,2025-03-29 17:42:02
Sydney,32.9,2025-02-14 17:42:02
London,16.3,2025-03-24 17:42:02
New York,27.1,2024-07-25 17:42:02
Tokyo,30.7,2024-10-25 17:42:02
Paris,16.4,2024-05-08 17:42:02
Sydney,12.5,2024-09-18 17:42:02
New York,32.7,2025-04-06 17:42:02
Tokyo,31.0,2024-11-06 17:42:02
London,32.3,2024-09-29 17:42:02
Sydney,17.7,2024-09-06 17:42:02
